generation: 77 best: -1321.93 fitness: -1321.93|-1218.27|-65.3395|-77.6325|-75.3388|-76.5225|-70.9406|-116.76|-75.2765|-76.431|
generation: 78 best: -1321.93 fitness: -1321.93|-1218.27|-136.506|-74.9296|-260.357|-64.874|-75.2523|-75.5358|-1016.11|-75.4886|
generation: 79 best: -1321.93 fitness: -1321.93|-1218.27|-90.8783|-179.073|-78.0034|-75.3427|-75.2952|-74.9829|-74.7169|-68.468|
generation: 80 best: -1321.93 fitness: -1321.93|-1218.27|-85.9204|-1116.42|-70.3292|-154.469|-67.859|-78.9688|-75.4623|-66.5751|
generation: 81 best: -1321.93 fitness: -1321.93|-1218.27|-64.3622|-75.4826|-88.1588|-74.9312|-117.279|-77.3817|-75.4613|-65.2606|
generation: 82 best: -1364.44 fitness: -1321.93|-1218.27|-75.2432|-65.0701|-1364.44|-75.0393|-79.576|-84.2432|-77.4384|-65.5952|
generation: 0 best: -162.591 fitness: -119.705|-109.293|-95.7206|-99.4056|-95.9442|-120.433|-95.1134|-122.602|-97.3845|-162.591|
generation: 1 best: -208.219 fitness: -162.591|-122.602|-101.322|-96.6992|-94.8925|-164.029|-126.213|-199.937|-208.219|-132.999|
generation: 2 best: -208.219 fitness: -208.219|-199.937|-98.9746|-101.139|-99.9245|-153.59|-163.15|-114.381|-162.934|-98.3493|
generation: 3 best: -208.219 fitness: -208.219|-199.937|-96.8824|-113.232|-94.0534|-157.323|-121.225|-93.8072|-119.793|-95.7716|
generation: 4 best: -393.553 fitness: -208.219|-199.937|-123.749|-176.762|-200.163|-95.0176|-393.553|-95.1027|-193.031|-102.425|
generation: 5 best: -393.553 fitness: -393.553|-208.219|-132.564|-94.1879|-94.7578|-113.43|-178.644|-101.352|-92.617|-94.4947|
generation: 6 best: -393.553 fitness: -393.553|-208.219|-123.387|-120.84|-161.918|-94.6368|-94.6024|-101.084|-92.1566|-157.684|
generation: 7 best: -393.553 fitness: -393.553|-208.219|-100.47|-120.519|-177.342|-193.213|-163.94|-98.2287|-163.561|-92.6991|
generation: 8 best: -393.553 fitness: -393.553|-208.219|-97.0563|-97.5694|-138.33|-96.3951|-103.414|-97.8112|-163.175|-92.0685|
generation: 9 best: -393.553 fitness: -393.553|-208.219|-175.627|-170.812|-105.3|-121.293|-92.6901|-98.0116|-122.072|-131.619|
generation: 10 best: -393.553 fitness: -393.553|-208.219|-94.433|-107.368|-92.8772|-153.085|-126.993|-92.4215|-182.631|-136.968|
generation: 11 best: -393.553 fitness: -393.553|-208.219|-92.9836|-92.5476|-92.2427|-165.101|-175.605|-167.004|-94.6882|-165.077|
generation: 12 best: -393.553 fitness: -393.553|-208.219|-93.2662|-94.2132|-174.201|-93.5231|-173.681|-92.5911|-95.5806|-120.776|
generation: 0 best: -127.779 fitness: -86.8071|-86.591|-87.8305|-87.0143|-127.779|-87.0417|-86.8178|-92.6707|-86.9942|-87.3217|
generation: 1 best: -127.779 fitness: -127.779|-92.6707|-87.0427|-86.6925|-87.7162|-86.4397|-88.556|-91.0954|-92.2529|-87.1417|
generation: 2 best: -163.274 fitness: -127.779|-92.6707|-88.3902|-163.274|-87.7634|-88.8802|-87.2318|-87.1122|-87.131|-93.0427|
generation: 3 best: -197.101 fitness: -163.274|-127.779|-88.5744|-86.8936|-87.0268|-87.9279|-87.0052|-87.2257|-197.101|-95.9834|
generation: 4 best: -197.101 fitness: -197.101|-163.274|-92.247|-163.314|-158.611|-87.239|-95.2174|-93.2748|-160.587|-87.1777|
generation: 5 best: -209.28 fitness: -197.101|-163.314|-87.7759|-92.1278|-94.3009|-149.464|-209.28|-90.1107|-95.3371|-92.369|
generation: 6 best: -215.25 fitness: -209.28|-197.101|-92.3953|-91.4937|-89.7688|-89.8216|-177.34|-215.25|-92.3844|-87.1227|
generation: 7 best: -215.25 fitness: -215.25|-209.28|-89.599|-87.8245|-90.2459|-103.662|-175.196|-86.9802|-120.864|-92.2166|
